"surveyid","agency","city","state","white_hit_rate","black_hit_rate","white_search_rate","black_search_rate"
1490,"Lake Bluff Police Department","Lake Bluff","IL",0.302325581395349,0.24,0.0124026535910009,0.0492610837438424
1514,"Niles Police Dept","Niles","IL",0.117572692793932,0.114583333333333,0.0295966474594028,0.0418665503706934
1506,"Montgomery Police Department","Montgomery","IL",0.430232558139535,0.529411764705882,0.11970570689998,0.215189873417722
1509,"Morton Police Department","Morton","IL",0.236363636363636,0.0641025641025641,0.0362012223789375,0.0935251798561151
1554,"Willmington Police Department","Wilmington","IL",0.4375,0.375,0.00775623268698061,0.0139616055846422
1497,"Manteno Police Department","Manteno","IL",0.194690265486726,0.136363636363636,0.0129616884606561,0.0278481012658228
1521,"Peotone Police Department","Peotone","IL",0.31044776119403,0.203125,0.0415735914619012,0.0992248062015504
1451,"Carbondale Police Department","Carbondale","IL",0.313679245283019,0.271056661562021,0.0155997056659308,0.0599467547966584
1505,"Momence Police Dept","Momence","IL",0.285714285714286,0.375,0.0159857904085258,0.0120754716981132
1512,"Murphysboro Police Department","Murphysboro","IL",0.284090909090909,0.192468619246862,0.0629560738303048,0.132777777777778
1511,"Mt Zion Police Department","Mt Zion","IL",0.225255972696246,0.2,0.0985039502437384,0.240295748613678
1448,"Bushnell Police Department","Bushnell","IL",0.0224137931034483,0,0.522052205220522,0.6
1479,"Granville Police Dept","Granville","IL",,0,0,0.03125
1536,"Sparta Police Department","Sparta","IL",0.434782608695652,0.377049180327869,0.027150084317032,0.0734939759036145
1493,"Leland Police Dept","Leland","IL",0.333333333333333,,0.0040650406504065,0
1485,"Hillsdale Police Department","Hillsdale","IL",,0,0,0.0909090909090909
1437,"Albers Police Dept","Albers","IL",0.444444444444444,0,0.00962566844919786,0.0909090909090909
1441,"Apple River Police Dept","Apple River","IL",,,0,0
1455,"Casey Police Department","Casey","IL",0.388888888888889,0.75,0.0311688311688312,0.0851063829787234
1454,"Carterville Police Dept","Carterville","IL",0.244897959183673,0.272727272727273,0.0125063808065339,0.0314285714285714
1489,"Kenilworth Police Dept","Kenilworth","IL",0.379310344827586,0.15,0.0140299951620706,0.0403225806451613
1464,"East Dundee Police Dept","East Dundee","IL",0.255813953488372,0.148148148148148,0.0094807628706868,0.0226130653266332
1529,"Robinson Police Department","Robinson","IL",0.335282651072125,0.444444444444444,0.115436543654365,0.0818181818181818
2134,"Kure Beach Police Dept","Kure Beach","NC",0.326315789473684,0.714285714285714,0.117428924598269,0.0909090909090909
570,"Charlotte-Mecklenburg Police Dept","Charlotte","NC",0.237909769555339,0.269754898072499,0.0383935333709021,0.0783761033393305
589,"Jacksonville Police Department","Jacksonville","NC",0.294301327088212,0.301518438177874,0.0273149859267051,0.0719900057258862
