agency_id,asian,black,native_american,other,white,total,black_over_white
2,0.0534351145038,0.159488358149,0.157142857143,0.237093690249,0.122716817751,0.136302908848,1.29964548521
12,0.00943396226415,0.0589887640449,0.0384615384615,0.0303430079156,0.0367536548709,0.0430125936917,1.60497681801
13,0.0294599018003,0.14032658518,0.123839009288,0.106203007519,0.0650540210856,0.0807112472054,2.15707780761
20,0.2,0.151295009476,0.0909090909091,0.28125,0.139306736429,0.170905707196,1.08605666426
22,0.0,0.129032258065,0.0,0.333333333333,0.122222222222,0.339011925043,1.05571847507
24,0.0,0.054347826087,0.0,0.0512820512821,0.0433070866142,0.0926315789474,1.25494071146
30,0.0,0.137609932747,0.188405797101,0.0875656742557,0.0966421587205,0.126130920703,1.42391203351
35,0.0379746835443,0.0766750979517,0.0621118012422,0.0844444444444,0.0545679786265,0.0675082277625,1.40512989269
37,0.036231884058,0.0436874518861,0.0144927536232,0.0665887850467,0.0446573323508,0.0604741347772,0.978281719627
39,0.0645161290323,0.0254683840749,0.0,0.0651340996169,0.0172868830826,0.0593390085128,1.47327797343
44,0.0769230769231,0.0875912408759,0.0,0.0434782608696,0.0747271200672,0.300664451827,1.17214795374
45,0.00506475652992,0.02298298573,0.00606447494414,0.00733977801647,0.0167090510786,0.0196239618903,1.37548120608
49,0.0485933503836,0.104555638536,0.125,0.0843373493976,0.0756636310792,0.129520351036,1.38184801661
50,0.0110211426001,0.0621213625981,0.0221327967807,0.0124555160142,0.0301348556885,0.0448976146258,2.0614454982
51,0.0271563717307,0.0783761033393,0.0567092651757,0.0339438604097,0.0383935333709,0.058627585772,2.04138813123
52,0.0280701754386,0.0929211015374,0.175,0.0693493150685,0.0574316290131,0.0956340956341,1.6179429895
56,0.00415512465374,0.0186084142395,0.0,0.00846023688663,0.0267661610836,0.0721442885772,0.695221633814
63,0.00859598853868,0.0372189907247,0.00709219858156,0.0823170731707,0.0296067547494,0.0367240428656,1.25711146121
64,0.0231481481481,0.0417644298451,0.0,0.0315789473684,0.0245392822502,0.059534400949,1.70194178539
65,0.010889292196,0.0363596777705,0.0265957446809,0.0511727078891,0.0210113766262,0.0448541614568,1.73047575213
67,0.0322580645161,0.0680970149254,0.0,0.027027027027,0.0385514018692,0.143669560012,1.76639529625
68,0.0428571428571,0.0611741109311,0.0936,0.0549102428722,0.0612969989652,0.0775989268947,0.997995203091
69,0.0305810397554,0.145921676228,0.047619047619,0.163522012579,0.0782057068352,0.105448116296,1.86586992348
72,0.166969147005,0.176851544337,0.12,0.256975036711,0.114394099052,0.16378357384,1.5459848524
77,0.176470588235,0.218763700132,0.0,0.157534246575,0.173589229447,0.268578192819,1.26023775109
78,0.0200364298725,0.104635984673,0.0943396226415,0.077793904209,0.0728234167465,0.107342182668,1.43684530811
79,0.0146666666667,0.0822345420038,0.0233118971061,0.0347714101739,0.037295546855,0.0666545066987,2.20494265236
88,0.0164500740253,0.0635054229628,0.0710103871577,0.0381582294582,0.0330948566652,0.0529531083629,1.91889101093
91,0.0304518664047,0.0466573816156,0.0201342281879,0.162457912458,0.038098961242,0.053424268258,1.22463658049
96,0.0972222222222,0.132581100141,0.0909090909091,0.119022316684,0.117501456028,0.132446561828,1.1283358064
98,0.0254237288136,0.0907639604882,0.0232558139535,0.0771513353116,0.0601824602707,0.0863380297655,1.50814639481
100,0.0313111545988,0.0582215408202,0.21686746988,0.0494669509595,0.0333453534989,0.0603303714269,1.74601660235
104,0.0225117248567,0.0664727980286,0.0386303775241,0.0612731084429,0.0324202220737,0.0527460058994,2.05034986736
105,0.0146082337317,0.0391839266637,0.018018018018,0.0405105438402,0.0244516579195,0.039966796815,1.60250592384
106,0.0442381212452,0.0699166132136,0.135135135135,0.0682290121626,0.0708522624023,0.0854040812937,0.986794363976
108,0.134146341463,0.15306122449,0.102443609023,0.204819277108,0.129260182876,0.213690301069,1.18413281711
112,0.0225988700565,0.0938477580813,0.0909090909091,0.110144927536,0.0608627800691,0.113637821541,1.54195647939
114,0.0510204081633,0.146935348447,0.214285714286,0.0853658536585,0.0846445709184,0.160631877884,1.73590989773
116,0.0320953690967,0.076404372179,0.0204081632653,0.0498220640569,0.0379463210138,0.0602758529912,2.0134856328
117,0.0214751184834,0.0593319015706,0.0549199084668,0.0219907407407,0.0373353979636,0.0515629091611,1.58915947885
123,0.0143626570916,0.0734457831325,0.0140845070423,0.0553766902769,0.0410047656871,0.075278305729,1.79115236734
124,0.018115942029,0.0480917097721,0.0655737704918,0.0271444082519,0.0364463601533,0.0775665204116,1.31952023659
125,0.0214669051878,0.0494625119064,0.029702970297,0.025824964132,0.0294294579534,0.0550663751939,1.6807143368
128,0.125770653514,0.155485498108,0.1328125,0.209245742092,0.141339396445,0.193003774756,1.10008604833
130,0.0271682340648,0.0719900057259,0.0677419354839,0.0401009534492,0.0273149859267,0.0491928394084,2.63554980109
133,0.0,0.106104651163,0.0,0.100346020761,0.0862591338442,0.215208034433,1.23006859024
134,0.00837988826816,0.0335486795874,0.0151515151515,0.0541323234573,0.0224683710431,0.0441323334483,1.49315139594
136,0.0,0.08228980322,0.04,0.222222222222,0.0661274976213,0.256645722571,1.24441126884
138,0.00808625336927,0.0290633910945,0.0238095238095,0.0309477756286,0.0253554287784,0.0807622242142,1.1462393852
142,0.0,0.0777777777778,0.1,0.0588235294118,0.107772020725,0.557537912578,0.721688034188
143,0.0232558139535,0.0528846153846,0.0,0.0735294117647,0.0542865069823,0.200997398092,0.974176058184
