agency_id,asian,black,native_american,other,white,total,black_over_white
2,0.030534351145,0.0565604077146,0.0285714285714,0.0305927342256,0.036215216705,0.0431468998603,1.56178570393
12,0.0,0.0157838416265,0.0,0.00527704485488,0.0104294757936,0.0144580146863,1.51338781919
13,0.0,0.0391997708174,0.0433436532508,0.0112781954887,0.0191578809794,0.0243664802137,2.04614335268
20,0.0,0.0420088439672,0.0,0.0625,0.0377697841727,0.0690653432589,1.11223415456
22,0.0,0.0403225806452,0.0,0.0,0.0333333333333,0.0971039182283,1.20967741935
24,0.0,0.0217391304348,0.0,0.025641025641,0.0196850393701,0.0694736842105,1.10434782609
30,0.0,0.0434557682359,0.0724637681159,0.0122591943958,0.0306980974759,0.0538584353379,1.41558506256
35,0.00920598388953,0.0219957347617,0.0124223602484,0.0143209876543,0.0125972029433,0.0206933862315,1.74608084514
37,0.0024154589372,0.0123171670516,0.0,0.00817757009346,0.0131171702284,0.0286456427892,0.939010993764
39,0.00806451612903,0.010831381733,0.0,0.0191570881226,0.00659804697809,0.043565348022,1.64160421546
44,0.0769230769231,0.014598540146,0.0,0.0,0.0285474391268,0.264119601329,0.511378273937
45,0.00137471962955,0.00626600804976,0.000638365783594,0.00143215180809,0.00386451866774,0.00689684246027,1.62142004956
49,0.00255754475703,0.0238984316654,0.0,0.00722891566265,0.0181166440612,0.0724769254048,1.31914230829
50,0.00247413405308,0.0200615751316,0.00603621730382,0.0,0.00742324890861,0.0185475507103,2.7025329985
51,0.00582452235207,0.0211423377676,0.0127795527157,0.00663270835591,0.00913419667669,0.0155126027019,2.31463570536
52,0.0105263157895,0.030241594864,0.05,0.0128424657534,0.022175980975,0.0540540540541,1.36370945204
56,0.0,0.00768608414239,0.0,0.00676818950931,0.009814259064,0.0579983496405,0.783154804889
63,0.00114613180516,0.0113386260022,0.00283687943262,0.0162601626016,0.00720819326089,0.0134514704357,1.57301914527
64,0.0138888888889,0.0178320037541,0.0,0.0105263157895,0.00989330746848,0.0393683274021,1.80243096769
65,0.00181488203267,0.00696712388417,0.0106382978723,0.00426439232409,0.0042186054107,0.0265760338282,1.65152300485
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.00714285714286,0.0134613901103,0.0248,0.00844772967265,0.0131769575716,0.0302146210597,1.02158560026
69,0.0152905198777,0.0374158144176,0.0119047619048,0.0146750524109,0.0253999297929,0.0482603570961,1.47306763139
72,0.0235934664247,0.0529724344072,0.04,0.0200685266765,0.0317808219178,0.0659974306116,1.66680504816
77,0.0294117647059,0.100394563788,0.0,0.0352250489237,0.0647378974506,0.165987110351,1.55078505391
78,0.00728597449909,0.02947492526,0.0283018867925,0.0171262699565,0.021359870092,0.0461761822159,1.37992062372
79,0.00244444444444,0.0224378183998,0.0064308681672,0.00482936252415,0.00747374583775,0.0201354763489,3.00221855103
88,0.00509952294785,0.0170557219596,0.0200188857413,0.00635970490969,0.00790555129902,0.0157019270998,2.15743612487
91,0.00392927308448,0.0144382544104,0.00335570469799,0.0277777777778,0.0114821847425,0.0238962515177,1.25744836319
96,0.0586419753086,0.0710124486417,0.0795454545455,0.028692879915,0.0578969661672,0.0732324296977,1.22653142889
98,0.00847457627119,0.0438021751422,0.0,0.0172106824926,0.0311580341377,0.0511771306802,1.40580676395
100,0.00587084148728,0.0132809505558,0.120481927711,0.00554371002132,0.00627876885222,0.0242381604055,2.11521571639
104,0.00594059405941,0.019582152723,0.00834064969271,0.0132456641891,0.00967595685788,0.0174557323131,2.02379496009
105,0.00398406374502,0.00927042768033,0.0,0.00527192008879,0.0055668476777,0.0160020905709,1.66529213965
106,0.00819224467504,0.0188057612689,0.0135135135135,0.0127558587956,0.01731782664,0.0337236096407,1.08591924725
108,0.0365853658537,0.0288841342989,0.0206766917293,0.019578313253,0.0222360764755,0.09846033147,1.29897620791
112,0.0,0.0271115745568,0.0606060606061,0.0347826086957,0.0140824137034,0.0681570338059,1.92520793152
114,0.0102040816327,0.0390428211587,0.0,0.00975609756098,0.0202544358889,0.0963347532836,1.92761829423
116,0.00550206327373,0.0188699766165,0.00510204081633,0.00355871886121,0.00954078928348,0.0272186233676,1.97782133698
117,0.0053317535545,0.017767657688,0.0167810831426,0.00636574074074,0.0101326647864,0.0190643218435,1.75350295925
123,0.00718132854578,0.0223614457831,0.0140845070423,0.011590470058,0.013668255229,0.0429676893837,1.63601318592
124,0.00724637681159,0.0132811407801,0.0210772833724,0.00651465798046,0.00943486590038,0.0487773586842,1.40766608877
125,0.00357781753131,0.0112940536127,0.00990099009901,0.00430416068867,0.00604736575481,0.0297009147198,1.86759889688
128,0.0221948212084,0.0571248423707,0.046875,0.029737766964,0.0419594873915,0.0910595170381,1.36142850931
130,0.00766283524904,0.0217063140909,0.0129032258065,0.00673022994952,0.00803883660763,0.0211668325106,2.70018102748
133,0.0,0.0276162790698,0.0,0.0207612456747,0.0261985385849,0.161210382157,1.05411525075
134,0.0,0.0112962333296,0.00757575757576,0.0133660057919,0.00774318861883,0.0268734225483,1.45886066912
136,0.0,0.0277280858676,0.0,0.047619047619,0.0247383444339,0.217979700338,1.12085454796
138,0.0,0.00888352708927,0.0238095238095,0.00193423597679,0.00697274291406,0.0627475927479,1.27403622918
142,0.0,0.0555555555556,0.1,0.0,0.0321243523316,0.333184656557,1.729390681
143,0.0,0.0176282051282,0.0,0.0147058823529,0.0172939979654,0.169557675629,1.01932503771
147,0.0,0.0291648254529,0.0,0.0,0.0348169418521,0.256484149856,0.837661893937
