,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
113,1227.0,Dalton,Massachusetts,MA,Berkshire,42.5161,-73.0929,-1.0
114,1229.0,Glendale,Massachusetts,MA,Berkshire,42.2793,-73.3435,-1.0
115,1230.0,Great Barrington,Massachusetts,MA,Berkshire,42.1959,-73.3606,-1.0
116,1235.0,Hinsdale,Massachusetts,MA,Berkshire,42.4298,-73.0724,-1.0
117,1236.0,Housatonic,Massachusetts,MA,Berkshire,42.2653,-73.3745,-1.0
118,1237.0,Lanesboro,Massachusetts,MA,Berkshire,42.5497,-73.2626,-1.0
119,1238.0,Lee,Massachusetts,MA,Berkshire,42.299,-73.2317,-1.0
120,1240.0,Lenox,Massachusetts,MA,Berkshire,42.3642,-73.2713,-1.0
121,1242.0,Lenox Dale,Massachusetts,MA,Berkshire,42.3386,-73.2509,-1.0
122,1243.0,Middlefield,Massachusetts,MA,Hampshire,42.3561,-73.0104,-1.0
123,1244.0,Mill River,Massachusetts,MA,Berkshire,42.1228,-73.254,-1.0
124,1245.0,Monterey,Massachusetts,MA,Berkshire,42.1867,-73.2065,-1.0
125,1247.0,North Adams,Massachusetts,MA,Berkshire,42.6955,-73.08,-1.0
126,1252.0,North Egremont,Massachusetts,MA,Berkshire,42.1986,-73.4462,-1.0
127,1253.0,Otis,Massachusetts,MA,Berkshire,42.1899,-73.0821,-1.0
128,1254.0,Richmond,Massachusetts,MA,Berkshire,42.3784,-73.3645,-1.0
129,1255.0,Sandisfield,Massachusetts,MA,Berkshire,42.1094,-73.1163,-1.0
130,1256.0,Savoy,Massachusetts,MA,Berkshire,42.577,-73.0233,-1.0
131,1257.0,Sheffield,Massachusetts,MA,Berkshire,42.1001,-73.3611,-1.0
132,1258.0,South Egremont,Massachusetts,MA,Berkshire,42.1012,-73.4566,-1.0
133,1259.0,Southfield,Massachusetts,MA,Berkshire,42.078,-73.2609,-1.0
134,1260.0,South Lee,Massachusetts,MA,Berkshire,42.2866,-73.3133,-1.0
137,1264.0,Tyringham,Massachusetts,MA,Berkshire,42.22,-73.1979,-1.0
138,1266.0,West Stockbridge,Massachusetts,MA,Berkshire,42.3348,-73.3825,-1.0
139,1267.0,Williamstown,Massachusetts,MA,Berkshire,42.7089,-73.2036,-1.0
140,1270.0,Windsor,Massachusetts,MA,Berkshire,42.515,-73.0412,-1.0
141,1301.0,Greenfield,Massachusetts,MA,Franklin,42.6013,-72.6236,-1.0
142,1302.0,Greenfield,Massachusetts,MA,Franklin,42.5222,-72.6242,-1.0
143,1330.0,Ashfield,Massachusetts,MA,Franklin,42.5232,-72.811,-1.0
145,1337.0,Bernardston,Massachusetts,MA,Franklin,42.6952,-72.5772,-1.0
146,1338.0,Buckland,Massachusetts,MA,Franklin,42.5736,-72.8213,-1.0
147,1339.0,Charlemont,Massachusetts,MA,Franklin,42.608,-72.8901,-1.0
148,1340.0,Colrain,Massachusetts,MA,Franklin,42.679,-72.7265,-1.0
149,1341.0,Conway,Massachusetts,MA,Franklin,42.5138,-72.7025,-1.0
150,1342.0,Deerfield,Massachusetts,MA,Franklin,42.5406,-72.6072,-1.0
151,1343.0,Drury,Massachusetts,MA,Berkshire,42.6427,-72.9862,-1.0
152,1344.0,Erving,Massachusetts,MA,Franklin,42.6076,-72.4292,-1.0
153,1346.0,Heath,Massachusetts,MA,Franklin,42.6853,-72.8391,-1.0
154,1347.0,Lake Pleasant,Massachusetts,MA,Franklin,42.5566,-72.5181,-1.0
155,1349.0,Turners Falls,Massachusetts,MA,Franklin,42.5725,-72.4832,-1.0
156,1350.0,Monroe Bridge,Massachusetts,MA,Franklin,42.7215,-72.9762,-1.0
157,1351.0,Montague,Massachusetts,MA,Franklin,42.5429,-72.5328,-1.0
158,1354.0,Northfield,Massachusetts,MA,Franklin,42.6337,-72.5111,-1.0
159,1355.0,New Salem,Massachusetts,MA,Franklin,42.5146,-72.3062,-1.0
160,1360.0,Northfield,Massachusetts,MA,Franklin,42.6887,-72.451,-1.0
161,1364.0,Orange,Massachusetts,MA,Franklin,42.6129,-72.2924,-1.0
162,1366.0,Petersham,Massachusetts,MA,Worcester,42.4898,-72.1893,-1.0
163,1367.0,Rowe,Massachusetts,MA,Franklin,42.6953,-72.9258,-1.0
164,1368.0,Royalston,Massachusetts,MA,Worcester,42.6722,-72.1964,-1.0
165,1369.0,Shattuckville,Massachusetts,MA,Franklin,42.5222,-72.6242,-1.0
167,1373.0,South Deerfield,Massachusetts,MA,Franklin,42.4756,-72.6153,-1.0
168,1375.0,Sunderland,Massachusetts,MA,Franklin,42.4539,-72.5676,-1.0
169,1376.0,Turners Falls,Massachusetts,MA,Franklin,42.5954,-72.5557,-1.0
171,1379.0,Wendell,Massachusetts,MA,Franklin,42.5656,-72.4009,-1.0
172,1380.0,Wendell Depot,Massachusetts,MA,Franklin,42.5534,-72.3927,-1.0
174,1430.0,Ashburnham,Massachusetts,MA,Worcester,42.6496,-71.9267,-1.0
175,1431.0,Ashby,Massachusetts,MA,Middlesex,42.6745,-71.8174,-1.0
176,1432.0,Ayer,Massachusetts,MA,Middlesex,42.5591,-71.5788,-1.0
177,1433.0,Ft Devens,Massachusetts,MA,-1,42.5336,-71.6215,-1.0
178,1434.0,Devens,Massachusetts,MA,Middlesex,42.5385,-71.6115,-1.0
179,1436.0,Baldwinville,Massachusetts,MA,Worcester,42.5936,-72.0646,-1.0
180,1438.0,East Templeton,Massachusetts,MA,Worcester,42.5517,-72.0294,-1.0
181,1440.0,Gardner,Massachusetts,MA,Worcester,42.574,-71.9898,-1.0
182,1441.0,Gardner,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
184,1451.0,Harvard,Massachusetts,MA,Worcester,42.4986,-71.5753,-1.0
185,1452.0,Hubbardston,Massachusetts,MA,Worcester,42.4865,-72.0012,-1.0
186,1453.0,Leominster,Massachusetts,MA,Worcester,42.5274,-71.7563,-1.0
187,1460.0,Littleton,Massachusetts,MA,Middlesex,42.5401,-71.4877,-1.0
188,1462.0,Lunenburg,Massachusetts,MA,Worcester,42.5884,-71.7266,-1.0
190,1464.0,Shirley,Massachusetts,MA,Middlesex,42.5734,-71.6483,-1.0
